true_medicine,predicted,char_similarity,fuzzy_score,exact_match,fuzzy_match
Aceta,Aceta,100.0,100.0,True,True
Aceta,Aceta,100.0,100.0,True,True
Aceta,Aceta,100.0,100.0,True,True
Aceta,Aceta,100.0,100.0,True,True
Aceta,Aceta,100.0,100.0,True,True
Aceta,Acet,88.89,88.89,False,True
Aceta,Aceta,100.0,100.0,True,True
Aceta,Aceta,100.0,100.0,True,True
Aceta,Acata,80.0,80.0,False,True
Aceta,Aceta,100.0,100.0,True,True
Ace,Aca,66.67,66.67,False,True
Ace,Ace,100.0,100.0,True,True
Ace,Ace,100.0,100.0,True,True
Ace,Aca,66.67,66.67,False,True
Ace,Ace,100.0,100.0,True,True
Ace,Ace,100.0,100.0,True,True
Ace,Ace,100.0,100.0,True,True
Ace,Ace,100.0,100.0,True,True
Ace,Ace,100.0,100.0,True,True
Ace,Ace,100.0,100.0,True,True
Alatrol,Alatrol,100.0,100.0,True,True
Alatrol,Alatrol,100.0,100.0,True,True
Alatrol,Alatmol,85.71,85.71,False,True
Alatrol,Alatrol,100.0,100.0,True,True
Alatrol,Alatrol,100.0,100.0,True,True
Alatrol,Alaizol,71.43,71.43,False,True
Alatrol,Alatrol,100.0,100.0,True,True
Alatrol,Alatrol,100.0,100.0,True,True
Alatrol,Alatrol,100.0,100.0,True,True
Alatrol,Rlaotroll,75.0,75.0,False,True
Amodis,Amdin,72.73,72.73,False,True
Amodis,Oodi,60.0,67.5,False,True
Amodis,Amodin,83.33,83.33,False,True
Amodis,Amodis,100.0,100.0,True,True
Amodis,Amodis,100.0,100.0,True,True
Amodis,Uods,60.0,67.5,False,True
Amodis,Amoddin,76.92,76.92,False,True
Amodis,Amodis,100.0,100.0,True,True
Amodis,Aodis,90.91,90.91,False,True
Amodis,Amodis,100.0,100.0,True,True
Atrizin,Atizin,92.31,92.31,False,True
Atrizin,Atrisn,76.92,76.92,False,True
Atrizin,Atrizin,100.0,100.0,True,True
Atrizin,Atrizin,100.0,100.0,True,True
Atrizin,Atroin,76.92,76.92,False,True
Atrizin,Atisin,76.92,76.92,False,True
Atrizin,Atrizin,100.0,100.0,True,True
Atrizin,Atrizin,100.0,100.0,True,True
Atrizin,Atrizin,100.0,100.0,True,True
Atrizin,Atrizin,100.0,100.0,True,True
Axodin,Axodin,100.0,100.0,True,True
Axodin,Axodin,100.0,100.0,True,True
Axodin,Axodin,100.0,100.0,True,True
Axodin,Axodin,100.0,100.0,True,True
Axodin,Axodin,100.0,100.0,True,True
Axodin,Axodin,100.0,100.0,True,True
Axodin,Axodin,100.0,100.0,True,True
Axodin,Axodin,100.0,100.0,True,True
Axodin,Axodin,100.0,100.0,True,True
Axodin,Axodin,100.0,100.0,True,True
Azithrocin,Azithrocin,100.0,100.0,True,True
Azithrocin,Azithrocin,100.0,100.0,True,True
Azithrocin,Azithrocin,100.0,100.0,True,True
Azithrocin,Azithrocin,100.0,100.0,True,True
Azithrocin,Aithrcin,88.89,88.89,False,True
Azithrocin,Azithrocin,100.0,100.0,True,True
Azithrocin,Azithrocin,100.0,100.0,True,True
Azithrocin,Azithrocin,100.0,100.0,True,True
Azithrocin,Azithrocin,100.0,100.0,True,True
Azithrocin,Azithrocin,100.0,100.0,True,True
Azyth,Azyth,100.0,100.0,True,True
Azyth,Azyth,100.0,100.0,True,True
Azyth,Azyth,100.0,100.0,True,True
Azyth,Azyth,100.0,100.0,True,True
Azyth,Azyth,100.0,100.0,True,True
Azyth,Azyth,100.0,100.0,True,True
Azyth,Azyth,100.0,100.0,True,True
Azyth,Azyth,100.0,100.0,True,True
Azyth,Azyth,100.0,100.0,True,True
Azyth,Azyth,100.0,100.0,True,True
Az,A,66.67,90.0,False,True
Az,Az,100.0,100.0,True,True
Az,Az,100.0,100.0,True,True
Az,Az,100.0,100.0,True,True
Az,Az,100.0,100.0,True,True
Az,Az,100.0,100.0,True,True
Az,Az,100.0,100.0,True,True
Az,Az,100.0,100.0,True,True
Az,Az,100.0,100.0,True,True
Az,Az,100.0,100.0,True,True
Bacaid,Bacaid,100.0,100.0,True,True
Bacaid,Becaid,83.33,83.33,False,True
Bacaid,Baciid,83.33,83.33,False,True
Bacaid,Bacaid,100.0,100.0,True,True
Bacaid,Bacaid,100.0,100.0,True,True
Bacaid,Bacaid,100.0,100.0,True,True
Bacaid,Backd,72.73,72.73,False,True
Bacaid,Bacaid,100.0,100.0,True,True
Bacaid,Bacaid,100.0,100.0,True,True
Bacaid,Bacaid,100.0,100.0,True,True
Backtone,Backtone,100.0,100.0,True,True
Backtone,Backextone,88.89,88.89,False,True
Backtone,Backtone,100.0,100.0,True,True
Backtone,Backtne,93.33,93.33,False,True
Backtone,Backtoin,87.5,87.5,False,True
Backtone,Backtona,87.5,87.5,False,True
Backtone,Backtono,87.5,87.5,False,True
Backtone,Backoton,87.5,87.5,False,True
Backtone,Backtno,80.0,80.0,False,True
Backtone,Backextone,88.89,88.89,False,True
Baclofen,Baclgen,80.0,80.0,False,True
Baclofen,Baclofen,100.0,100.0,True,True
Baclofen,Baclofen,100.0,100.0,True,True
Baclofen,Baclofen,100.0,100.0,True,True
Baclofen,Baclofen,100.0,100.0,True,True
Baclofen,Baclofen,100.0,100.0,True,True
Baclofen,Baclofen,100.0,100.0,True,True
Baclofen,Baclofen,100.0,100.0,True,True
Baclofen,Baclofen,100.0,100.0,True,True
Baclofen,Baclofen,100.0,100.0,True,True
Baclon,Baclon,100.0,100.0,True,True
Baclon,Baclon,100.0,100.0,True,True
Baclon,Baclon,100.0,100.0,True,True
Baclon,Baclon,100.0,100.0,True,True
Baclon,Baclon,100.0,100.0,True,True
Baclon,Baclon,100.0,100.0,True,True
Baclon,Baclon,100.0,100.0,True,True
Baclon,Baclon,100.0,100.0,True,True
Baclon,Balcon,83.33,83.33,False,True
Baclon,Baclon,100.0,100.0,True,True
Bacmax,Bacmax,100.0,100.0,True,True
Bacmax,Bacmax,100.0,100.0,True,True
Bacmax,Bacmax,100.0,100.0,True,True
Bacmax,Bacmax,100.0,100.0,True,True
Bacmax,Bucman,66.67,66.67,False,True
Bacmax,Bacmax,100.0,100.0,True,True
Bacmax,Bacma,90.91,90.91,False,True
Bacmax,Bacmax,100.0,100.0,True,True
Bacmax,Bacmax,100.0,100.0,True,True
Bacmax,Bacmax,100.0,100.0,True,True
Beklo,Beklo,100.0,100.0,True,True
Beklo,Bacxo,40.0,40.0,False,False
Beklo,Beklo,100.0,100.0,True,True
Beklo,Beklo,100.0,100.0,True,True
Beklo,Beklo,100.0,100.0,True,True
Beklo,Habbela,50.0,50.0,False,False
Beklo,Beklo,100.0,100.0,True,True
Beklo,Beklo,100.0,100.0,True,True
Beklo,Beklo,100.0,100.0,True,True
Beklo,Beklo,100.0,100.0,True,True
Bicozin,Bicozin,100.0,100.0,True,True
Bicozin,Bicoion,85.71,85.71,False,True
Bicozin,Bicozin,100.0,100.0,True,True
Bicozin,Bicozin,100.0,100.0,True,True
Bicozin,Bicozin,100.0,100.0,True,True
Bicozin,Bicoz,83.33,83.33,False,True
Bicozin,Bicozin,100.0,100.0,True,True
Bicozin,Bicozin,100.0,100.0,True,True
Bicozin,Bicozin,100.0,100.0,True,True
Bicozin,Bioge,50.0,50.0,False,False
Canazole,Canadzole,94.12,94.12,False,True
Canazole,Canazole,100.0,100.0,True,True
Canazole,Mndzole,66.67,66.67,False,True
Canazole,Canazole,100.0,100.0,True,True
Canazole,Canazole,100.0,100.0,True,True
Canazole,Canazole,100.0,100.0,True,True
Canazole,Canazole,100.0,100.0,True,True
Canazole,Canazolr,87.5,87.5,False,True
Canazole,Canazole,100.0,100.0,True,True
Canazole,Canazole,100.0,100.0,True,True
Candinil,Candinil,100.0,100.0,True,True
Candinil,Candinil,100.0,100.0,True,True
Candinil,Cndiil,85.71,85.71,False,True
